Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5-3337U,852,47.2,33616,https://cpu.userbenchmark.com/SpeedTest/737/IntelR-CoreTM-i5-3337U-CPU---180GHz
CPU,,Intel,Core i7-4510U,853,47.1,63054,https://cpu.userbenchmark.com/SpeedTest/10660/IntelR-CoreTM-i7-4510U-CPU---200GHz
CPU,,Intel,Core i3-2330M,854,47,20066,https://cpu.userbenchmark.com/SpeedTest/1853/IntelR-CoreTM-i3-2330M-CPU---220GHz
CPU,,Intel,Core i3 550,855,47,19058,https://cpu.userbenchmark.com/SpeedTest/632/IntelR-CoreTM-i3-CPU---------550----320GHz
CPU,,Intel,Core i3-2350M,856,47,24896,https://cpu.userbenchmark.com/SpeedTest/934/IntelR-CoreTM-i3-2350M-CPU---230GHz
CPU,,Intel,Core m3-7Y32,857,47,57,https://cpu.userbenchmark.com/SpeedTest/513740/IntelR-CoreTM-m3-7Y32-CPU---110GHz
CPU,,Intel,Core2 Quad Q9505,858,47,2124,https://cpu.userbenchmark.com/SpeedTest/3041/IntelR-CoreTM2-Quad-CPU----Q9505----283GHz
CPU,AD789KXDJCHBX,AMD,A10-7890K APU (2014 D.Ka),859,47,6638,https://cpu.userbenchmark.com/SpeedTest/118648/AMD-A10-7890K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,,Intel,Core i3-10110U,860,46.9,11481,https://cpu.userbenchmark.com/SpeedTest/915083/IntelR-CoreTM-i3-10110U-CPU---210GHz
CPU,,Intel,Xeon E5-2660 v2,861,46.9,32,https://cpu.userbenchmark.com/SpeedTest/13068/IntelR-XeonR-CPU-E5-2660-v2---220GHz
CPU,,Intel,Celeron G540,862,46.9,1658,https://cpu.userbenchmark.com/SpeedTest/5981/IntelR-CeleronR-CPU-G540---250GHz
CPU,,Intel,Xeon L5420,863,46.7,1165,https://cpu.userbenchmark.com/SpeedTest/10433/IntelR-XeonR-CPU-----------L5420----250GHz
CPU,,AMD,A10-6700T APU (2013 D.Ri),864,46.7,84,https://cpu.userbenchmark.com/SpeedTest/5691/AMD-A10-6700T-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Pentium 2020M,865,46.7,9778,https://cpu.userbenchmark.com/SpeedTest/1723/IntelR-PentiumR-CPU-2020M---240GHz
CPU,,AMD,A8-3870 APU,866,46.7,6332,https://cpu.userbenchmark.com/SpeedTest/3870/AMD-A8-3870-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core2 Extreme Q6850,867,46.7,1078,https://cpu.userbenchmark.com/SpeedTest/7118/IntelR-CoreTM2-Extreme-CPU-Q6850----300GHz
CPU,,Intel,Core M-5Y10,868,46.5,478,https://cpu.userbenchmark.com/SpeedTest/17561/IntelR-Processor-5Y10-CPU---080GHz
CPU,,AMD,Phenom 9950,869,46.5,2150,https://cpu.userbenchmark.com/SpeedTest/2758/AMD-Phenomtm-9950-Quad-Core-Processor
CPU,,AMD,Phenom II X2 560,870,46.5,1794,https://cpu.userbenchmark.com/SpeedTest/5408/AMD-Phenomtm-II-X2-560-Processor
CPU,,Intel,Core i3-2310M,871,46.5,25542,https://cpu.userbenchmark.com/SpeedTest/159/IntelR-CoreTM-i3-2310M-CPU---210GHz
